job_id,start_time,phase,duration_sec,arrival_time_scaled,cpu_percent,estimated_temp_raw,estimated_temp_smoothed,memory_requested_MB,action_id,action_name,deadline_sec,elapsed_sec,sla_violation,migration_cost,reward
285,12:37:30,baseline,45.000000,4.700000,0.000000,40.000000,40.531124,4096.000000,-1,fifo,54.000000,0.013901,0,0.000000,-4.053112
119,12:37:30,baseline,18.000000,4.800000,0.000000,40.000000,40.424899,256.000000,-1,fifo,21.600000,0.013865,0,0.000000,-4.042490
208,12:37:31,baseline,11.000000,4.800000,0.000000,40.000000,40.339920,256.000000,-1,fifo,13.200000,0.013875,0,0.000000,-4.033992
176,12:37:31,baseline,9.000000,4.800000,25.000000,52.500000,42.771936,2048.000000,-1,fifo,10.800000,0.013903,0,0.000000,-4.277194
332,12:37:31,baseline,34.000000,4.800000,0.000000,40.000000,42.217549,512.000000,-1,fifo,40.800000,0.014144,0,0.000000,-4.221755
6,12:37:31,baseline,31.000000,4.800000,0.000000,40.000000,41.774039,512.000000,-1,fifo,37.200000,0.013872,0,0.000000,-4.177404
354,12:37:31,baseline,33.000000,4.900000,0.000000,40.000000,41.419231,1024.000000,-1,fifo,39.600000,0.016623,0,0.000000,-4.141923
296,12:37:31,baseline,18.000000,4.900000,0.000000,40.000000,41.135385,4096.000000,-1,fifo,21.600000,0.013869,0,0.000000,-4.113538
140,12:37:31,baseline,38.000000,4.900000,5.300000,42.650000,41.438308,1024.000000,-1,fifo,45.600000,0.013870,0,0.000000,-4.143831
329,12:37:31,baseline,48.000000,5.000000,0.000000,40.000000,41.150646,512.000000,-1,fifo,57.600000,0.014251,0,0.000000,-4.115065
134,12:37:31,baseline,49.000000,5.000000,0.000000,40.000000,40.920517,256.000000,-1,fifo,58.800000,0.013875,0,0.000000,-4.092052
377,12:37:31,baseline,19.000000,5.000000,0.000000,40.000000,40.736414,4096.000000,-1,fifo,22.800000,0.014021,0,0.000000,-4.073641
141,12:37:31,baseline,42.000000,5.100000,0.000000,40.000000,40.589131,2048.000000,-1,fifo,50.400000,0.015854,0,0.000000,-4.058913
202,12:37:31,baseline,13.000000,5.200000,0.000000,40.000000,40.471305,256.000000,-1,fifo,15.600000,0.013869,0,0.000000,-4.047130
236,12:37:31,baseline,11.000000,5.200000,0.000000,40.000000,40.377044,256.000000,-1,fifo,13.200000,0.016633,0,0.000000,-4.037704
419,12:37:31,baseline,37.000000,5.300000,0.000000,40.000000,40.301635,256.000000,-1,fifo,44.400000,0.013904,0,0.000000,-4.030164
420,12:37:31,baseline,50.000000,5.300000,0.000000,40.000000,40.241308,1024.000000,-1,fifo,60.000000,0.013901,0,0.000000,-4.024131
477,12:37:32,baseline,44.000000,5.300000,0.000000,40.000000,40.193046,512.000000,-1,fifo,52.800000,0.013869,0,0.000000,-4.019305
13,12:37:32,baseline,46.000000,5.300000,6.200000,43.100000,40.774437,4096.000000,-1,fifo,55.200000,0.013923,0,0.000000,-4.077444
137,12:37:32,baseline,48.000000,5.300000,0.000000,40.000000,40.619550,1024.000000,-1,fifo,57.600000,0.014019,0,0.000000,-4.061955
404,12:37:32,baseline,20.000000,5.400000,0.000000,40.000000,40.495640,256.000000,-1,fifo,24.000000,0.014044,0,0.000000,-4.049564
215,12:37:32,baseline,43.000000,5.400000,0.000000,40.000000,40.396512,512.000000,-1,fifo,51.600000,0.016583,0,0.000000,-4.039651
131,12:37:32,baseline,10.000000,5.400000,0.000000,40.000000,40.317209,4096.000000,-1,fifo,12.000000,0.013885,0,0.000000,-4.031721
413,12:37:32,baseline,10.000000,5.400000,0.000000,40.000000,40.253768,1024.000000,-1,fifo,12.000000,0.013873,0,0.000000,-4.025377
156,12:37:32,baseline,55.000000,5.500000,0.000000,40.000000,40.203014,1024.000000,-1,fifo,66.000000,0.013906,0,0.000000,-4.020301
495,12:37:32,baseline,35.000000,5.600000,0.000000,40.000000,40.162411,256.000000,-1,fifo,42.000000,0.013863,0,0.000000,-4.016241
494,12:37:32,baseline,40.000000,5.600000,0.000000,40.000000,40.129929,2048.000000,-1,fifo,48.000000,0.013858,0,0.000000,-4.012993
